1.777153e-02	2.001082e-02	1.000541e-02
2.899324e-02	9.363479e-02	2.703004e-02
3.808360e-02	2.311953e-01	5.169685e-02
5.034329e-02	3.687112e-01	5.113104e-02
6.683296e-02	5.687417e-01	4.950261e-02
9.045854e-02	7.017854e-01	3.828553e-02
1.224649e-01	9.346716e-01	3.224924e-02
1.654394e-01	1.245571e+00	2.752349e-02
2.232086e-01	1.625055e+00	2.289037e-02
3.011090e-01	2.144517e+00	1.927700e-02
4.065824e-01	2.657771e+00	1.519048e-02
5.489802e-01	3.205653e+00	1.168981e-02
7.411939e-01	3.596820e+00	8.357019e-03
1.000563e+00	4.133504e+00	6.126245e-03
1.350756e+00	5.281340e+00	4.988340e-03
1.774526e+00	7.134887e+00	5.277329e-03
2.228694e+00	9.695593e+00	1.356765e-02
