1.047198e-02	5.677135e-02	2.838568e-02
1.480961e-02	3.312042e-02	1.656021e-02
2.325316e-02	7.866196e-01	1.716545e-01
3.138812e-02	8.680930e-01	1.640542e-01
4.232022e-02	1.521873e+00	1.781217e-01
5.586400e-02	2.375880e+00	1.920785e-01
7.528527e-02	3.591091e+00	1.820756e-01
1.020058e-01	5.852166e+00	1.915913e-01
1.378239e-01	9.150564e+00	1.946488e-01
1.859711e-01	6.831317e+00	9.349200e-02
2.508717e-01	5.348916e+00	4.708911e-02
3.387398e-01	4.577575e+00	2.576188e-02
4.574030e-01	3.955305e+00	1.425782e-02
6.175888e-01	3.585347e+00	8.259392e-03
8.337310e-01	3.287415e+00	4.841538e-03
1.125554e+00	2.977899e+00	2.799570e-03
1.519554e+00	2.663872e+00	1.598658e-03
2.036695e+00	2.731956e+00	1.084464e-03
2.619625e+00	2.855536e+00	1.288484e-03
